RD,STNUM,STDIR,STREET,DISTRICT,DATEOCC,TIME,PRIMARY_CLASS,SECONDARY_CLASS,RECOVERED_I
HS102795,12XX,W,FULLERTON AVE,18,3-Jan-10,2:50 AM,THEFT,OVER $500,N
HS111368,40XX,W,25TH ST,10,3-Jan-10,5:00 PM,THEFT,OVER $500,N
HS103680,36XX,N,HALSTED ST,23,3-Jan-10,9:30 PM,THEFT,OVER $500,N
HS103794,109XX,S,AVENUE F,4,3-Jan-10,11:00 PM,THEFT,$500 AND UNDER,N
HS103794,109XX,S,AVENUE F,4,3-Jan-10,11:00 PM,THEFT,$500 AND UNDER,N
HS116292,66XX,W,NORTH AVE,25,11-Jan-10,1:00 PM,THEFT,$500 AND UNDER,N
HS116557,65XX,N,LAKEWOOD AVE,24,11-Jan-10,11:30 PM,THEFT,OVER $500,N
HS116891,60XX,S,HALSTED ST,7,12-Jan-10,4:04 PM,THEFT,$500 AND UNDER,N
HS123475,11XX,N,WINCHESTER AVE,13,13-Jan-10,6:00 PM,THEFT,OVER $500,N
HS120308,8XX,W,BUCKINGHAM PL,23,13-Jan-10,7:30 PM,THEFT,OVER $500,N
HS128641,26XX,W,AGATITE AVE,19,14-Jan-10,3:30 PM,THEFT,OVER $500,N
HS122175,6XX,S,MORGAN ST,12,15-Jan-10,8:00 AM,THEFT,OVER $500,N
HS122869,XX,S,WESTERN AVE,11,16-Jan-10,12:00 AM,THEFT,$500 AND UNDER,N
HS122608,12XX,N,CLEAVER ST,14,16-Jan-10,12:49 AM,THEFT,$500 AND UNDER,N
HS125961,13XX,N,MILWAUKEE AVE,14,17-Jan-10,2:00 AM,THEFT,$500 AND UNDER,N
HS141995,69XX,N,HIAWATHA AVE,16,20-Jan-10,8:15 AM,THEFT,$500 AND UNDER,N
HS134053,39XX,W,FULLERTON AVE,25,23-Jan-10,1:35 PM,THEFT,$500 AND UNDER,N
HS135017,49XX,N,MILWAUKEE AVE,16,23-Jan-10,10:30 PM,THEFT,OVER $500,N
HS135000,12XX,W,WEBSTER AVE,18,24-Jan-10,11:00 AM,THEFT,$500 AND UNDER,N
HS136587,21XX,N,HUDSON AVE,18,25-Jan-10,1:45 PM,THEFT,OVER $500,N
HS138074,28XX,N,WHIPPLE ST,14,25-Jan-10,7:00 PM,THEFT,OVER $500,N
HS137515,5XX,N,ADA ST,13,26-Jan-10,2:00 AM,THEFT,OVER $500,N
HS148978,18XX,W,LAWRENCE AVE,20,27-Jan-10,7:30 AM,THEFT,OVER $500,N
HS148363,7XX,N,DEARBORN ST,18,29-Jan-10,6:30 AM,THEFT,OVER $500,N
HS143659,16XX,W,OHIO ST,13,29-Jan-10,3:00 PM,THEFT,OVER $500,N
HS143545,38XX,W,62ND PL,8,29-Jan-10,8:00 PM,THEFT,$500 AND UNDER,N
HS145242,33XX,S,MORGAN ST,9,31-Jan-10,1:00 PM,THEFT,OVER $500,N
HS165760,3XX,N,DESPLAINES ST,12,2-Feb-10,9:00 AM,THEFT,OVER $500,N
HS149907,47XX,N,RAVENSWOOD AVE,19,3-Feb-10,9:00 AM,THEFT,OVER $500,N
HS150556,27XX,N,WAYNE AVE,19,3-Feb-10,8:30 PM,THEFT,OVER $500,N
HS150556,27XX,N,WAYNE AVE,19,3-Feb-10,8:30 PM,THEFT,OVER $500,N
HS202568,9XX,W,VAN BUREN ST,12,6-Feb-10,12:01 AM,THEFT,OVER $500,N
HS156986,6XX,N,LOTUS AVE,15,6-Feb-10,3:00 PM,THEFT,$500 AND UNDER,N
HS156986,6XX,N,LOTUS AVE,15,6-Feb-10,3:00 PM,THEFT,$500 AND UNDER,N
HS154706,14XX,W,BLACKHAWK ST,14,6-Feb-10,10:00 PM,THEFT,$500 AND UNDER,N
