TRIP_DATE,PAYMENT_TYPE,TRIP_COUNT,FARE_TOTAL,TIPS_TOTAL
1/1/13,Cash,46001,636914.86,81.55
1/1/13,Credit Card,10572,142889.74,30195.49
1/1/13,No Charge,530,6104.2,60
1/1/13,Dispute,81,945.85,0
1/1/13,Unknown,54,645.85,113.07
1/2/13,Cash,28974,334733.13,65.22
1/2/13,Credit Card,7566,117702.71,22890.74
1/2/13,No Charge,259,4520.88,78.96
1/2/13,Unknown,53,825.6,120.9
1/2/13,Dispute,45,522,0
1/2/13,Pcard,1,8.85,3
1/3/13,Cash,30809,361151.24,70.73
1/3/13,Credit Card,7765,113945.65,22239.74
1/3/13,No Charge,281,3723.68,120.3
1/3/13,Unknown,54,765.5,86.45
1/3/13,Dispute,35,398.55,0
1/4/13,Cash,40036,382901.81,62.07
1/4/13,Credit Card,10079,135864.94,27490.99
1/4/13,No Charge,406,7868.88,244.95
1/4/13,Unknown,61,883.15,87.95
1/4/13,Dispute,59,683.95,0
1/4/13,Pcard,31,273.53,0
1/5/13,Cash,38468,365845.88,66.14
1/5/13,Credit Card,9654,116276.49,24095.03
1/5/13,No Charge,381,5263.75,39.45
1/5/13,Unknown,45,480.45,63.64
1/5/13,Dispute,41,489.65,0
1/5/13,Pcard,10,74.89,5
1/6/13,Cash,27654,309054.22,86.34
1/6/13,Credit Card,9251,137182.14,27821.73
1/6/13,No Charge,331,5985.22,81.45
1/6/13,Unknown,43,696.15,60.15
1/6/13,Dispute,36,648.8,0
1/6/13,Pcard,2,26.3,3.09
1/7/13,Cash,30066,329467.98,70.73
1/7/13,Credit Card,9791,162523.14,31870.66
1/7/13,No Charge,316,4612.15,177.81
1/7/13,Unknown,53,927.65,91.05
1/7/13,Pcard,31,294.34,2
1/7/13,Dispute,26,326.3,0
1/8/13,Cash,29344,284152.75,51.42
1/8/13,Credit Card,9621,149293.24,30688.48
1/8/13,No Charge,358,6054.43,174.75
1/8/13,Unknown,64,1113.5,109.85
1/8/13,Pcard,34,378.09,0
1/8/13,Dispute,26,237.9,0
1/9/13,Cash,31521,392380.62,45.02
1/9/13,Credit Card,10556,161728.88,33045.7
1/9/13,No Charge,393,7005.67,363.27
1/9/13,Unknown,50,741.9,113.3
1/9/13,Pcard,43,306.95,0
1/9/13,Dispute,33,319.05,0
1/10/13,Cash,36822,383027.45,89.48
1/10/13,Credit Card,12893,199948.4,41639.9
1/10/13,No Charge,439,6861.74,202.4
1/10/13,Unknown,70,1196.25,175.95
1/10/13,Dispute,42,315.7,0
1/10/13,Pcard,40,475.4,0
1/11/13,Cash,43221,425457.68,64.64
1/11/13,Credit Card,13728,198756.4,40965.45
1/11/13,No Charge,480,6271.27,162.85
1/11/13,Dispute,69,725.65,0
1/11/13,Unknown,65,912.3,143.3
1/11/13,Pcard,28,244.39,0
1/12/13,Cash,45627,435557.05,165.83
1/12/13,Credit Card,12925,149173.25,31568.79
1/12/13,No Charge,515,7956.81,412.95
1/12/13,Unknown,53,537.35,75.4
1/12/13,Dispute,36,408.8,0
1/12/13,Pcard,6,36.29,0
1/13/13,Cash,33120,333115.52,206.46
1/13/13,Credit Card,11401,156011.58,31971.59
1/13/13,No Charge,456,8851.63,188.01
1/13/13,Unknown,50,740.2,83.25
1/13/13,Dispute,39,600.75,0
1/13/13,Pcard,1,6.65,2
1/14/13,Cash,32700,442401.31,114.48
1/14/13,Credit Card,11441,188934.29,38017.76
1/14/13,No Charge,388,9562.75,272.05
1/14/13,Unknown,65,10157.21,167.7
1/14/13,Pcard,41,284.84,0
1/14/13,Dispute,35,463.7,0
1/15/13,Cash,32465,418404.67,49.48
1/15/13,Credit Card,11404,176221.58,35724.21
1/15/13,No Charge,419,10453.62,301.55
1/15/13,Unknown,60,964.7,108.37
1/15/13,Pcard,40,376.8,0
1/15/13,Dispute,34,627.65,0
1/16/13,Cash,36092,339234.77,95.11
1/16/13,Credit Card,12512,190722.89,39407.29
1/16/13,No Charge,446,5776.89,93.85
1/16/13,Unknown,77,1103.55,139.65
1/16/13,Dispute,48,582.4,0
1/16/13,Pcard,41,337.83,2
1/17/13,Cash,39602,394013.99,79.02
1/17/13,Credit Card,14198,222545.3,45858.83
1/17/13,No Charge,494,5475.89,148.55
1/17/13,Unknown,81,1088.8,142.06
1/17/13,Dispute,57,663.85,0
1/17/13,Pcard,33,369.45,0
1/18/13,Cash,49128,482654.46,94.92
1/18/13,Credit Card,15472,222644.33,45476.4
1/18/13,No Charge,526,9347.96,344.05
1/18/13,Unknown,90,1264.45,189.91
1/18/13,Dispute,57,679.45,0
1/18/13,Pcard,36,389.18,1
1/19/13,Cash,49279,474233.11,126.29
1/19/13,Credit Card,14095,167980.87,35697.7
1/19/13,No Charge,572,6852.88,77.8
1/19/13,Unknown,67,697.5,99.1
1/19/13,Dispute,42,423.66,0
1/19/13,Pcard,12,128,0
1/20/13,Cash,41254,414825.04,119.85
1/20/13,Credit Card,13927,181295.11,37688.53
1/20/13,No Charge,537,6212.41,94.55
1/20/13,Unknown,45,582.75,81.45
1/20/13,Dispute,44,467.8,0
1/20/13,Pcard,11,134.55,2
1/21/13,Cash,33577,446442.83,94.2
1/21/13,Credit Card,12159,195363.36,39810.8
1/21/13,No Charge,357,5987.14,189.5
1/21/13,Unknown,75,1108.85,167.05
1/21/13,Dispute,33,484,0
1/21/13,Pcard,27,169.14,1
1/22/13,Cash,40212,425483.55,106.2
1/22/13,Credit Card,14720,222594.48,46633.23
1/22/13,No Charge,444,7182.95,426.45
1/22/13,Unknown,78,1158.2,125.7
1/22/13,Dispute,63,752.9,0
1/22/13,Pcard,38,322.88,1
1/23/13,Cash,40593,547798.01,168.58
1/23/13,Credit Card,15217,234291.86,48968.77
1/23/13,No Charge,494,8993.49,199.04
1/23/13,Unknown,86,1300.1,146.98
1/23/13,Dispute,56,495.6,0
1/23/13,Pcard,42,354.3,4
1/24/13,Cash,43199,592298.33,127.23
1/24/13,Credit Card,15847,250123.53,51980.9
1/24/13,No Charge,471,6699.31,170.6
1/24/13,Unknown,69,1057.95,165.6
