SCHOOL_ID,NAME,STATUS_SY1617,GRADE_CAT_SY1617,GOVERNANCE_SY1617,NETWORK_SY1617,BOUNDARY_SY1617,RA_0607,RA_0708,RA_0809,RA_0910,RA_1011,RA_1112,RA_1213,RA_1314,RA_1415,RA_1516,RA_1617,TR_0607,TR_0708,TR_0809,TR_0910,TR_1011,TR_1112,TR_1213,TR_1314,TR_1415,TR_1516,TR_1617,TA_0607,TA_0708,TA_0809,TA_0910,TA_1011,TA_1112,TA_1213,TA_1314,TA_1415,TA_1516,TA_1617,T1617,T1516,T1415,T1314,T1213,T1112,T1011,T0910,T0809,T0708,T0607,W1617,W1516,W1415,W1314,W1213,W1112,W1011,W0910,W0809,W0708,W0607,B1617,B1516,B1415,B1314,B1213,B1112,B1011,B0910,B0809,B0708,B0607,A1617,A1516,A1415,A1314,A1213,A1112,A1011,A0910,A0809,A0708,A0607,H1617,H1516,H1415,H1314,H1213,H1112,H1011,H0910,H0809,H0708,H0607
22,All Existing CPS High Schools With Attendance Boundaries,,HS,,,,44068,41235,42140,40495,37007,35498,33801,31578,28827,26476,24692,98471,99371,98371,101628,99386,99584,102642,104486,106725,107306,107505,71826,69637,67076,64444,59938,58654,55605,52605,49617,46950,45211,45211,46950,49617,52605,55824,58654,59870,64329,66704,67758,68519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400009,Academy for Global Citizenship Charter School,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,150,198,247,296,350,391,450,461,461,450,391,350,296,247,198,150,89,,,6.7,6.2,7.2,8.9,10.5,9.7,14.6,11.3,7.9,,,4.3,4.2,3.6,3.1,6.4,6.1,5.1,7.3,1.1,,,0,0,0.3,0.3,0,0,0,0.7,1.1,,,87.2,88.7,87,85.1,80.7,82.2,76.3,80.7,89.9,,
400010,ACE Technical Charter School,ACTIVE,HS,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,380,461,361,507,476,500,482,481,448,439,385,385,439,448,481,482,500,476,507,476,462,377,1.6,1.4,2.5,2.3,2.5,4.8,3.8,5.9,6.7,5.2,9,81,84.3,80.8,76.1,69.3,64.4,62.2,65.7,64.1,60.8,56.8,0,0,0,0,0,0,0,0.4,0.6,0.9,1.3,16.6,13.9,15.8,20.8,23.7,26.8,29.6,27.8,28.4,31.2,30.5
400011,Alain Locke Charter School,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483,508,474,511,581,588,588,570,581,569,550,550,569,581,570,588,588,581,511,507,507,485,0.2,0,0,0,0.5,0.3,0.3,0,0,0,0,98.5,99.3,99.5,98.6,98,97.8,95.2,99.2,98.8,99,99,0,0,0,0,0,0,0,0,0,0,0,0.5,0.7,0.5,1.2,1,1.2,1.5,0.8,1.2,1,1
400013,ASPIRA Charter School - Early College High School,ACTIVE,HS,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,414,524,505,511,568,508,451,422,422,451,508,568,511,505,524,414,374,208,,1.2,1.1,1,0.7,1.2,1.2,1.7,2.4,4,2.4,,2.8,2.4,2.6,2.5,2.5,3,4.6,7.7,9.4,6.3,,1.2,0.4,1,0.9,0.4,0.6,0.8,1.2,1.3,2.4,,92.2,94.5,94.5,94.7,94.5,94.3,92.6,88.6,85.3,87.5,
400017,ASPIRA Charter School - Haugan Middle School,ACTIVE,ES,Charter,Charter,Charter-Attendance Area School,448,0,0,0,0,0,0,0,0,0,0,624,0,0,0,0,0,0,0,0,0,0,503,506,493,483,560,592,578,565,578,532,537,537,532,578,565,578,592,560,483,500,505,506,2.4,2.3,2.2,2.1,1.6,2.7,4.3,7.7,7.8,6.3,4.2,3.2,2.4,2.4,3.2,4.2,5.7,6.6,7.2,8,7.1,6.7,3.5,3,2.6,2.5,2.4,3.2,2.3,3.1,6.6,5.5,9.3,89.4,89.8,90.8,89.9,89.6,86.8,85.4,82,77.4,77,77.1
400021,Catalyst Elementary Charter School - Circle Rock,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221,232,336,499,520,529,521,516,521,522,522,521,516,521,529,520,498,336,274,220,,0,0,0,0,0,0,0,0,0,0.5,,96.7,97.7,81.2,84.1,88.8,94,98.8,99.4,99.3,99.1,,0.2,0.2,0,0,0,0,0,0,0,0,,2.3,1,0.4,0.2,0.4,0.2,0.2,0.6,0.7,0.5,
400022,Chicago High School for the Arts,ACTIVE,HS,Contract,Contract,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,300,437,583,575,577,605,603,603,605,577,575,583,437,300,146,,,,17.4,16.4,15.6,12,12,13.5,14,21.9,,,,44.9,51.1,53.9,53.2,53.2,52.9,50.3,47.9,,,,1.7,2,2.1,1.2,1,1.4,1.7,2.7,,,,28.4,25.5,24.3,23.5,24.9,25.6,27.7,27.4,,,
400023,CICS - Avalon/South Shore,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,399,420,426,421,422,418,402,421,501,501,421,402,418,422,421,426,420,406,366,322,0,0.2,0.5,0.5,0.5,0,0,0,0,0,0,97.6,96.7,97.3,98.3,99.1,99.5,96.5,100,100,97.8,100,0.2,0.2,0.2,0,0,0,0.2,0,0,0,0,1,1.4,1.2,0.5,0.5,0.2,0.2,0,0,0.5,0
400024,CICS - Basil,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,738,698,703,730,721,730,717,704,634,719,749,749,719,634,704,717,730,721,730,726,698,736,0.3,0,0,0.1,0.1,0.1,0.1,0,0,0,0,84.9,86.5,89.7,89.5,90.1,91.6,92.4,94.2,95.2,96.4,96.3,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.1,0.1,0.1,0,13.4,12.5,9.3,9.5,8.2,6.8,6.8,5.6,4.7,2.9,3.5
400025,CICS - Bucktown,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,642,602,613,628,657,667,672,674,675,678,704,704,678,675,674,672,667,657,628,624,602,641,3.3,2.9,2.2,2.4,2.8,3.4,3.3,6.2,6.4,4.7,5.3,11.5,9.4,10.5,13.6,14.3,14.2,16.6,21.7,24.2,23.4,23.4,0.6,0.4,0.3,0.1,0.1,0.1,0,1.1,0.8,1.8,0.9,81.7,84.2,83.7,81.9,81.1,80.5,78.4,71,68.6,64.6,58.3
400026,CICS - Loomis Primary,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,585,591,592,587,578,578,571,550,550,571,578,578,587,592,591,585,568,,,0.2,0,0,0,0,0,0,0.3,0.4,,,98,99.1,98.4,96,90.8,97.6,98,98.6,99.3,,,0,0,0,0,0.2,0.2,0,0.3,0,,,0.5,0.4,0.3,0.9,1.5,1.4,1.7,0.7,0.4,,
400027,CICS - Irving Park,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203,348,408,499,517,527,534,536,536,556,556,536,536,534,527,517,499,408,349,203,,19.1,18.3,17.5,13.1,12.7,13,14.8,12.5,11.5,11.8,,5.8,4.9,5.4,6.7,8.2,10.1,11.6,20.3,24.1,26.1,,5.4,6,5.4,4.5,4.4,4.4,4.4,3.7,2.9,2,,67.1,67.7,68.1,62.2,65.1,65.6,65.9,63.2,60.2,55.7,
400028,CICS - Prairie,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,404,403,398,425,404,403,406,406,405,410,420,420,410,405,406,406,403,404,425,416,403,404,0,0,0,0,0.2,0,0,0.2,0,0,0,46,46.3,45.4,49,54.9,56.1,57.9,59.8,57.9,60.3,62.1,0.2,0.2,0,0,0,0,0,0,0,0,0,48.3,52,52.3,50.7,44.6,43.7,42.1,40,42.1,38,36.1
400029,CICS - Washington Park,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454,442,432,427,434,446,448,441,432,453,482,482,453,432,442,448,446,434,427,449,442,454,0,0,0,0,0,0,0,0,0,0.2,0,98.3,98.7,98.1,91.2,97.1,99.6,99.3,99.8,99.8,98.2,100,0,0.2,0,0,0,0,0,0,0,0,0,0.6,0.9,1.6,1.4,0.9,0.4,0.5,0.2,0.2,0.2,0
400030,CICS - West Belden,ACTIVE,ES,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496,489,497,501,500,500,500,500,501,502,531,531,502,501,500,500,500,500,501,500,489,496,0.9,1,0.8,1,1.2,0.8,0.8,1.2,1.2,1.2,0.8,7.2,6.8,7.8,7.6,7.6,6.4,6.2,8.8,10.6,9,11.7,0.2,0,0,0,0,0.4,0.2,0,0,0,0,91.5,92,91.4,90.8,91.2,88.8,92.2,90,88.2,88.1,85.9
400031,CICS - Wrightwood,ACTIVE,ES,Charter,Charter,Charter-Attendance Area School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,566,618,709,722,720,709,725,731,731,730,784,784,730,731,731,725,709,720,722,699,618,566,0.5,0.7,0.5,0.5,0.7,0.3,0.3,0.6,0.3,0.3,0.2,94.9,93.3,93.7,93,93.4,91.7,90,98.6,98.9,97.4,98.1,0,0,0,0.1,0.1,0.1,0.1,0,0.1,0,0,2.7,3.3,3.7,2.3,2.1,2.1,1.8,0.7,0.6,1.3,1.6
400032,CICS - Ralph Ellison,ACTIVE,HS,Charter,Charter,Charter-Attendance Area School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,576,545,548,552,481,479,458,441,441,458,479,481,552,548,545,576,447,263,158,0,0,0,0,0,0,0,0.5,0.4,0,0,99.1,98.3,98.1,97.3,97.1,97.8,98.7,98.1,98,98.1,98.7,0,0,0,0,0,0,0,0.3,0.2,0,0,0.7,0.7,0.4,0.4,0.9,0.7,0.9,1,1.3,1.1,0.6
400033,CICS - Longwood,ACTIVE,HS,Charter,Charter,Citywide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469,1465,1467,1473,1471,1473,1412,1283,1266,1331,1361,1361,1331,1266,1283,1412,1473,1471,1473,1480,1465,1465,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.3,0,99.2,98.6,98.6,97.4,98.9,99.1,98.8,99.1,98.7,98.6,99.2,0,0,0,0.2,0,0,0,0,0.1,0,0,0.6,1.1,1,1.2,0.9,0.7,1.1,0.8,1.1,1.2,0.8
